"Priority","URL","Page type","Primary keyword","Secondary keywords","Intent","Content gap / action"
"1","https://www.sesoris.com/","Home","home organizer","rak serbaguna; storage box; organizer rumah","Commercial","Strengthen homepage copy around Sesoris as home organizer store and link to 6 core categories."
"2","https://www.sesoris.com/category/home-living","Category","storage box","rak serbaguna; kotak penyimpanan; tempat penyimpanan barang","Commercial","Use category intro to target broad home storage terms and link to storage-box/rak-serbaguna articles."
"3","https://www.sesoris.com/category/kitchen-dining","Category","kitchen storage","rak penyimpanan dapur; dish rack; food container","Commercial","Expand category copy for kitchen storage, dish racks, containers, and pantry organization."
"4","https://www.sesoris.com/category/tools-gadgets","Category","tools rumah tangga","alat dapur multifungsi; multi tool; gadget rumah","Commercial","Clarify subcategory sections for everyday carry, kitchen gadgets, and DIY home tools."
"5","https://www.sesoris.com/category/gift-sets","Category","gift set rumah","hadiah housewarming; kado pernikahan; hampers rumah","Commercial","Add buying guide block for housewarming and wedding gift use cases."
"6","https://www.sesoris.com/category/personal-care","Category","personal care organizer","bathroom organizer; skincare organizer; aromatherapy diffuser","Commercial","Bridge personal care products with bathroom storage and self-care intent."
"7","https://www.sesoris.com/category/tech-accessories","Category","cable organizer","charging station; cable management; aksesoris meja kerja","Commercial","Target tech clutter and desk cable organization."
"8","https://www.sesoris.com/category/bags-pouches","Category","travel pouch organizer","tas organizer; pouch serbaguna; storage pouch","Commercial","Keep daily carry pouch terms here after splitting outdoor travel."
"9","https://www.sesoris.com/category/office-desk","Category","desk organizer","office desk accessories; cable organizer meja; home office organizer","Commercial","Use for desk accessories and productivity setup."
"10","https://www.sesoris.com/category/outdoor-travel","Category","travel organizer","travel toiletry bag; packing pouch; tas outdoor","Commercial","New category needs deploy, indexing, and internal links from Bags & Pouches plus travel blog posts."
"11","https://www.sesoris.com/product/bamboo-desk-organizer","Product","bamboo desk organizer","desk organizer kayu; organizer meja kerja; tempat alat tulis","Transactional","Add comparison copy vs plastic desk organizers and link from office desk page."
"12","https://www.sesoris.com/product/smart-water-bottle","Product","smart water bottle","botol minum pintar; botol stainless; hydration reminder","Transactional","Clarify smart features and health routine benefits."
"13","https://www.sesoris.com/product/led-desk-lamp-wireless-charger","Product","lampu meja wireless charger","led desk lamp; lampu belajar led; wireless charging lamp","Transactional","Add office desk internal links and FAQ about compatibility."
"14","https://www.sesoris.com/product/premium-gift-box-set","Product","premium gift box","gift set premium; hampers rumah; kado ulang tahun","Transactional","Build gift use-case copy and link from gift category."
"15","https://www.sesoris.com/product/minimalist-wallet","Product","minimalist wallet","dompet slim; rfid wallet; dompet kulit minimalis","Transactional","Target EDC intent and compare with bulky wallets."
"16","https://www.sesoris.com/product/wireless-earbuds-pro","Product","wireless earbuds pro","earbuds anc; tws murah; bluetooth earbuds","Transactional","Add tech accessories internal links and feature FAQ."
"17","https://www.sesoris.com/product/portable-blender","Product","portable blender","blender portable; blender mini; blender jus portable","Transactional","Map to kitchen gadget and healthy lifestyle articles."
"18","https://www.sesoris.com/product/aromatherapy-diffuser","Product","aromatherapy diffuser","diffuser aromaterapi; humidifier aroma; diffuser kamar","Transactional","Add personal care and bedroom organization links."
"19","https://www.sesoris.com/product/ceramic-plant-pot-set","Product","ceramic plant pot set","pot tanaman keramik; pot minimalis; dekorasi rumah tanaman","Transactional","Tie to home decor and plant display article."
"20","https://www.sesoris.com/product/multi-tool-pocket-knife","Product","multi tool pocket knife","pisau lipat multi tool; alat camping; edc tool","Transactional","Connect to outdoor/travel and tools category."
"21","https://www.sesoris.com/product/storage-box-set","Product","storage box set","kotak penyimpanan set; storage box plastik; box organizer","Transactional","Map to storage box cluster and add size guide."
"22","https://www.sesoris.com/product/food-storage-container-set","Product","food storage container","food container; wadah makanan; kotak makan kedap udara","Transactional","Link to airtight container and pantry blog cluster."
"23","https://www.sesoris.com/product/cable-management-box","Product","cable management box","kotak kabel; cable organizer; rapikan kabel meja","Transactional","Link from tech accessories and home office content."
"24","https://www.sesoris.com/product/makeup-organizer","Product","makeup organizer","skincare organizer; tempat makeup; organizer kosmetik","Transactional","Pair with personal care category copy."
"25","https://www.sesoris.com/product/floating-wall-shelf-set","Product","floating wall shelf","rak dinding minimalis; floating shelf; rak dekorasi","Transactional","Link to home decor category and wall storage blog."
"26","https://www.sesoris.com/product/gantungan-kunci-dinding-magnetik","Product","gantungan kunci dinding","key holder dinding; rak kunci; organizer pintu masuk","Transactional","Target entryway organization intent."
"27","https://www.sesoris.com/product/rak-buku-minimalis-industrial","Product","rak buku minimalis","bookshelf industrial; rak buku besi kayu; rak ruang tamu","Transactional","Link to home living and small room organization."
"28","https://www.sesoris.com/product/travel-toiletry-bag","Product","travel toiletry bag","toiletry bag gantung; tas perlengkapan mandi; organizer travel","Transactional","Map to new Outdoor Travel category."
"29","https://www.sesoris.com/product/mesh-zipper-pouches-set","Product","mesh zipper pouch","pouch jaring; packing pouch; travel pouch set","Transactional","Map to travel organizer and bags cluster."
"30","https://www.sesoris.com/product/hanging-travel-organizer","Product","hanging travel organizer","organizer koper; packing organizer; travel wardrobe","Transactional","Add hotel/travel use cases and link from travel category."
"31","https://www.sesoris.com/blog/storage-box","Blog","storage box","box storage; kotak penyimpanan; storage box plastik","Informational","Pillar article should link to home category and storage products."
"32","https://www.sesoris.com/blog/rak-serbaguna","Blog","rak serbaguna","rak penyimpanan; rak multifungsi; rak minimalis","Informational","High-priority head term; add product CTAs to shelves and storage products."
"33","https://www.sesoris.com/blog/rekomendasi-rak-piring-terbaik","Blog","rekomendasi rak piring terbaik","rak piring; dish rack; rak piring minimalis","Commercial investigation","Low-hanging GSC article; strengthen product comparison table."
"34","https://www.sesoris.com/blog/home-organizer","Blog","home organizer","organizer rumah; cara merapikan rumah; storage solution","Informational","Use as hub to categories and product clusters."
"35","https://www.sesoris.com/blog/container-box","Blog","container box","box container; storage box; kotak container","Informational","Consolidate duplicates with storage-box cluster via internal links."
"36","https://www.sesoris.com/blog/cara-menata-dapur-sempit","Blog","cara menata dapur sempit","dapur kecil rapi; kitchen storage; rak dapur","Informational","Link to kitchen-dining and dish rack products."
"37","https://www.sesoris.com/blog/cara-merapikan-lemari-baju","Blog","cara merapikan lemari baju","lemari rapi; storage baju; organizer pakaian","Informational","Add storage box and hanging organizer CTAs."
"38","https://www.sesoris.com/blog/cara-menciptakan-home-office-yang-produktif-panduan-lifestyle-2026","Blog","home office produktif","desk organizer; office desk accessories; cable management","Informational","Link to office desk category and desk lamp product."
"39","https://www.sesoris.com/blog/cable-management","Blog","cable management","cable organizer; rapikan kabel; kotak kabel","Informational","Support tech accessories and cable box product."
"40","https://www.sesoris.com/blog/travel-accessories","Blog","travel accessories","perlengkapan traveling; travel organizer; travel pouch","Commercial investigation","Link to new Outdoor Travel category and travel products."
"41","https://www.sesoris.com/blog/bag-organizer-travel","Blog","bag organizer travel","tas organizer travel; packing pouch; pouch serbaguna","Commercial investigation","Support Bags & Pouches and Outdoor Travel split."
"42","https://www.sesoris.com/blog/tas-outdoor","Blog","tas outdoor","gym drawstring bag; tas travel ringan; tas olahraga","Commercial investigation","Link to gym drawstring bag and outdoor category."
