"Card Name","Card Description","Labels","Members","Due Date","List Name"
"📋 Project Brief - Sesoris SEO Campaign (3 Bulan)","⏱️ DURASI REVIEW: 30 menit

📋 PROJECT BRIEF - SESORIS SEO CAMPAIGN

🎯 OBJECTIVE
Meningkatkan organic traffic dan visibility website https://www.sesoris.com melalui strategi SEO komprehensif selama 3 bulan.

📊 KONDISI SAAT INI
• Domain Rating: 0
• Organic Traffic: 0/bulan
• Website: Next.js 16 (sudah live)
• Blog: 6 artikel existing
• GA4: Sudah terinstall (G-V2Y9KVBKFP)
• Sitemap & Robots.txt: Sudah ada
• JSON-LD: Organization & WebSite schema sudah ada

📈 TARGET KPI (3 Bulan)
• Organic Traffic: 0 → 500-1000/bulan
• Domain Rating: 0 → 5-10
• Indexed Pages: 30+ halaman
• Blog Posts: 75+ artikel baru
• Backlinks: 30+ dari berbagai domain

📅 TIMELINE
• Start: 9 Maret 2026 (Senin)
• End: 7 Juni 2026 (Minggu)
• Duration: 3 bulan

📈 PRODUCTION RATE
• Artikel: 1/hari (Senin-Sabtu)
• Paid Backlink: 2x/minggu (Selasa & Jumat)
• Free Backlink: 1x/minggu (Rabu)
• GBP Post: 1x/minggu (Senin)
• Monitoring: Weekly (Jumat) + Monthly

🏢 TENTANG SESORIS
Sesoris - ""Hidup Lebih Teratur""
E-commerce Home Organization & Lifestyle Products
Produk: Home Organizer, Kitchen Storage, Bags & Pouches, Tools & Gadgets, Office Desk Organizer, Outdoor Travel Gear
Lokasi: Yogyakarta, Indonesia
https://www.sesoris.com

📝 KEYWORDS RESEARCH
Keyword research dilakukan via DataForSEO API (Maret 2026).
Total 80+ keywords terfilter berdasarkan:
• Search Volume > 50
• Keyword Difficulty ≤ 35
• Relevan dengan niche home organization

📊 KEYWORD CATEGORIES:
• Storage & Organization: 23 keywords
• Kitchen Organization: 26 keywords
• Home Decor & Interior: 16 keywords
• Sustainable Living: 4 keywords
• Travel & Bags: 5 keywords
• Misc Home: 6 keywords
","Strategy","","2026-03-09","Brief"
"🔐 Setup Credentials & Akses","⏱️ DEADLINE: Week 1

📌 AKSES YANG DIBUTUHKAN

✅ CHECKLIST AKSES

☐ Google Search Console
   - Property: www.sesoris.com
   - Level: Owner

☐ Google Analytics 4
   - Property: G-V2Y9KVBKFP (sudah ada)
   - Pastikan tracking berjalan

☐ Google Business Profile
   - Claim/verify untuk Sesoris Yogyakarta

☐ DataForSEO API
   - Login: (lihat .env)
   - Untuk keyword research otomatis

☐ Seedbacklink Account
   - Untuk order paid backlinks

☐ Platform Free Backlink
   - Kumparan, Kompasiana, IDN Times, LinkedIn, Medium

📝 NOTES
- Semua credentials tersimpan di file .env
- File .env sudah di-gitignore
","Strategy","","2026-03-09","To Do"
"🔗 Backlinks Strategy Plan","📊 BACKLINK CAMPAIGN PLAN - SESORIS

📌 RINGKASAN STRATEGI
• Paid Backlinks: 2x/minggu (Selasa & Jumat)
• Free Backlinks: 1x/minggu (Rabu)
• Total estimasi 3 bulan: ~36 paid + ~12 free = 48 backlinks

📋 DOMAIN BERBAYAR PRIORITAS
• Gelora.co - DR 34, Traffic 479K, Rp 345.000
• Roonby.com - DR 37, Traffic 450K, Rp 400.000
• Sepenuhnya.com - DR 38, Traffic 107K, Rp 100.000
• Carisaham.com - DR 53, Traffic 102K, Rp 350.000
• Mahasiswaindonesia.id - DR 58, Traffic 73K, Rp 250.000
• Ruangojol.com - DR 55, Traffic 49K, Rp 200.000
• Evotekno.com - DR 20, Traffic 34K, Rp 90.000
• Kangamir.com - DR 18, Traffic 32K, Rp 75.000

📋 PLATFORM GRATIS
• Kumparan (DA 73) - Contributor Program
• Kompasiana (DA 83) - Open registration
• IDN Times Community (DA 82) - Community Program
• Indonesiana (Tempo) (DA 31) - Open registration
• LinkedIn Articles (DA 99) - Direct publish
• Medium Indonesia (DA 96) - Direct publish
• Good News Indonesia (DA 70) - Open registration
• Retizen Republika (DA 86) - Open registration

🔗 ANCHOR TEXT STRATEGY
Untuk website baru (DR 0):
• Branded (Sesoris): 40%
• Naked URL: 20%
• Generic: 15%
• Partial Match: 15%
• Exact Match: 10%

📍 LANDING PAGE DISTRIBUTION
• Homepage: 30%
• Shop/Category Pages: 30%
• Blog/Articles: 20%
• About Page: 10%
• Other Pages: 10%
","Offpage","","2026-03-09","Brief"
"💰 Monthly Report Bulan 1 - 9 April 2026 (Kamis)","📅 MONTHLY REPORT - BULAN 1

📊 MONTHLY REPORT BULAN 1
Laporan progress SEO bulan ke-1 dari 3.

📝 AI PROMPT:

```
Kamu adalah SEO Report Specialist. Buatkan monthly report untuk Sesoris.

PERIODE: Bulan 1 dari 3
WEBSITE: https://www.sesoris.com

Buatkan report dengan struktur:
1. Executive Summary
2. KPI Progress vs Target
3. Traffic Analysis (GSC data)
4. Ranking Progress (top keywords)
5. Content Performance (artikel published)
6. Backlink Progress (new backlinks)
7. Technical Health
8. Next Month Plan
```

✅ CHECKLIST
☐ Export data traffic dari GSC
☐ Export data ranking
☐ Compile backlinks acquired
☐ Compile content published
☐ Generate monthly report
☐ Review & finalize
","Monitoring","","2026-04-09","Brief"
"💰 Monthly Report Bulan 2 - 9 Mei 2026 (Sabtu)","📅 MONTHLY REPORT - BULAN 2

📊 MONTHLY REPORT BULAN 2
Laporan progress SEO bulan ke-2 dari 3.

📝 AI PROMPT:

```
Kamu adalah SEO Report Specialist. Buatkan monthly report untuk Sesoris.

PERIODE: Bulan 2 dari 3
WEBSITE: https://www.sesoris.com

Buatkan report dengan struktur:
1. Executive Summary
2. KPI Progress vs Target
3. Traffic Analysis (GSC data)
4. Ranking Progress (top keywords)
5. Content Performance (artikel published)
6. Backlink Progress (new backlinks)
7. Technical Health
8. Next Month Plan
```

✅ CHECKLIST
☐ Export data traffic dari GSC
☐ Export data ranking
☐ Compile backlinks acquired
☐ Compile content published
☐ Generate monthly report
☐ Review & finalize
","Monitoring","","2026-05-09","Brief"
"💰 Monthly Report Bulan 3 - 8 Juni 2026 (Senin)","📅 MONTHLY REPORT - BULAN 3

📊 MONTHLY REPORT BULAN 3
Laporan progress SEO bulan ke-3 dari 3.

📝 AI PROMPT:

```
Kamu adalah SEO Report Specialist. Buatkan monthly report untuk Sesoris.

PERIODE: Bulan 3 dari 3
WEBSITE: https://www.sesoris.com

Buatkan report dengan struktur:
1. Executive Summary
2. KPI Progress vs Target
3. Traffic Analysis (GSC data)
4. Ranking Progress (top keywords)
5. Content Performance (artikel published)
6. Backlink Progress (new backlinks)
7. Technical Health
8. Next Month Plan
```

✅ CHECKLIST
☐ Export data traffic dari GSC
☐ Export data ranking
☐ Compile backlinks acquired
☐ Compile content published
☐ Generate monthly report
☐ Review & finalize
","Monitoring","","2026-06-08","Brief"
"⚙️ Setup: Verify Google Search Console","⏱️ DURASI: 1 jam
⚠️ PRIORITY: 🔴 CRITICAL

📌 SETUP TASK
Verify Google Search Console

📝 DESKRIPSI
Verify ownership www.sesoris.com di GSC. Submit sitemap.xml. Cek coverage & indexation status.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Verify Google Search Console untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Verify Google Search Console

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: GSC

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Monitoring","","2026-03-09","Inbox"
"⚙️ Setup: Verify Google Analytics 4","⏱️ DURASI: 30 menit
⚠️ PRIORITY: 🔴 CRITICAL

📌 SETUP TASK
Verify Google Analytics 4

📝 DESKRIPSI
Pastikan GA4 (G-V2Y9KVBKFP) tracking berjalan. Setup conversion goals. Link dengan GSC.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Verify Google Analytics 4 untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Verify Google Analytics 4

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: GA4

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Monitoring","","2026-03-10","Inbox"
"⚙️ Setup: Setup Google Business Profile","⏱️ DURASI: 2-3 jam
⚠️ PRIORITY: 🔴 CRITICAL

📌 SETUP TASK
Setup Google Business Profile

📝 DESKRIPSI
Claim & verify Google Business Profile untuk Sesoris Yogyakarta. Complete semua informasi bisnis.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Setup Google Business Profile untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Setup Google Business Profile

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: GBP

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Local SEO","","2026-03-11","Inbox"
"⚙️ Setup: Setup Bing Webmaster Tools","⏱️ DURASI: 30 menit
⚠️ PRIORITY: 🟡 HIGH

📌 SETUP TASK
Setup Bing Webmaster Tools

📝 DESKRIPSI
Setup Bing Webmaster Tools untuk coverage lebih luas. Submit sitemap.

📝 AI PROMPT:

```
Kamu adalah SEO Implementer Expert. Bantu setup Setup Bing Webmaster Tools untuk website https://www.sesoris.com.

Website: https://www.sesoris.com
Tech Stack: Next.js 16, Vercel hosting
Task: Setup Bing Webmaster Tools

Berikan:
1. Step-by-step guide lengkap
2. Best practices untuk Next.js site
3. Common mistakes yang harus dihindari
4. Cara validasi setup sudah benar
```

🛠️ TOOLS: Bing Webmaster

✅ CHECKLIST
☐ Check requirements
☐ Implement setup
☐ Validate installation
☐ Document configuration
","Technical","","2026-03-12","Inbox"
