score,slug,words,h2,h3,imgs,int_links,ext_links,faq_count,usd_hits,em_dash,idr_count,filler_count,fake_authority,opinion_markers,author
82,diy-wooden-spice-rack-kitchen-organization-tutorial,1851,13,0,4,13,2,5,0,0,14,0,0,0,"Tim Sesoris"
82,rak-kompor-organisasi-area-memasak-lebih-rapi,1765,14,0,4,14,2,5,0,0,4,0,0,0,"Tim Sesoris"
83,cara-merawat-peralatan-dapur-stainless-steel,1606,15,0,3,11,2,5,0,0,13,0,0,0,"Tim Sesoris"
83,ideas-for-storage-in-living-room-transform-space-2026,1831,11,14,5,13,2,19,0,0,0,0,0,0,"Tim Sesoris"
83,inspirasi-dekorasi-kamar-tidur-2026,1622,17,0,3,11,2,5,0,0,13,0,0,0,"Tim Sesoris"
83,mengorganisir-dapur-kecil-dengan-efektif,1617,19,0,3,11,2,5,0,0,9,0,0,0,"Tim Sesoris"
83,rak-stainless-dapur,1994,10,16,3,12,2,21,0,0,16,1,1,0,"Tim Sesoris"
83,review-koleksi-kontainer-serbaguna-sesoris,1751,18,0,3,12,2,5,0,0,10,0,0,0,"Tim Sesoris"
83,sustainable-living-mulai-dari-rumah,1684,19,0,3,12,2,5,0,0,13,0,0,0,"Tim Sesoris"
83,tips-menata-rumah-minimalis-marie-kondo,1755,19,0,3,11,2,5,0,0,9,0,0,0,"Tim Sesoris"
85,airtight-pet-food-storage-containers-ultimate-guide-fresh-pet-food-2026,1900,11,21,4,12,2,27,0,0,8,0,0,0,"Tim Sesoris"
85,bag-organizer-travel,1893,12,18,3,12,2,23,0,0,23,0,0,0,"Tim Sesoris"
85,bpa-free-food-storage-containers-complete-guide-safe-food-storage-2026,1813,10,13,4,19,2,18,0,0,16,0,1,0,"Tim Sesoris"
85,cara-membuat-mini-bar-dapur-di-rumah-minimalis,1761,10,13,4,15,2,18,0,0,23,0,0,0,"Tim Sesoris"
85,cleaning-supply-organization-ultimate-guide-transform-home-storage-2026,1760,10,6,4,12,2,11,0,0,2,0,0,0,"Tim Sesoris"
85,closet-organization-nursery-ultimate-guide-creating-perfect-baby-storage-2026,1900,11,15,4,12,2,20,0,0,52,0,0,0,"Tim Sesoris"
85,complete-guide-minimalist-kitchen-sets-small-kitchens-smart-design-ideas-2026,1764,12,5,4,16,2,10,0,0,8,0,0,0,"Tim Sesoris"
85,containers-for-dog-food-storage-keep-pet-food-fresh-2026,1967,13,16,4,15,2,21,0,0,18,0,0,0,"Tim Sesoris"
85,covered-dish-racks-anti-dust-kitchen-storage-complete-guide-2026,1749,12,18,4,16,2,23,0,0,6,0,0,0,"Tim Sesoris"
85,craft-storage-room-ideas-transform-creative-space-smart-organization-2026,1857,11,4,4,13,2,9,0,0,52,0,0,0,"Tim Sesoris"
85,denah-rumah-minimalis,1896,11,12,3,13,2,17,0,0,4,0,0,0,"Tim Sesoris"
85,desain-rak-piring-minimalis-untuk-dapur-modern,1918,9,15,4,15,2,21,0,0,17,0,0,0,"Tim Sesoris"
85,desain-rumah-minimalis-2-lantai,1983,11,25,3,16,2,30,0,0,10,0,0,0,"Tim Sesoris"
85,desain-rumah-minimalis-3-kamar,1885,12,19,3,13,2,24,0,0,15,0,0,0,"Tim Sesoris"
85,desain-rumah-minimalis,1722,10,16,4,17,2,22,0,0,6,0,0,0,"Tim Sesoris"
85,desk-organizer,1985,13,15,3,12,2,20,0,0,48,0,0,0,"Tim Sesoris"
85,diy-storage-box,1923,13,11,3,11,2,16,0,0,6,0,0,0,"Tim Sesoris"
85,dog-food-containers-storage-solutions-2026,1769,14,22,4,12,2,27,0,0,35,0,2,0,"Tim Sesoris"
85,entryway-wall-organization-smart-ideas-transform-home-first-impression-2026,1940,12,16,5,13,2,21,0,0,1,0,0,0,"Tim Sesoris"
85,food-container,1910,13,15,3,12,2,20,0,0,22,0,0,0,"Tim Sesoris"
